timestamp,event_type,event_name,state,eeg_value
1764895261.9430034,state_change,RUNNING,RUNNING,0.326
1764895261.9746575,gesture,GESTURE_FIST,PAUSED,0.326
1764895261.9746575,state_change,PAUSED,PAUSED,0.326
1764895262.0049644,state_change,RUNNING,RUNNING,0.334
1764895262.0389001,state_change,PAUSED,PAUSED,0.326
1764895262.0667536,state_change,RUNNING,RUNNING,0.320
1764895262.091087,state_change,PAUSED,PAUSED,0.322
1764895262.134931,state_change,RUNNING,RUNNING,0.315
1764895262.1642396,state_change,PAUSED,PAUSED,0.307
1764895262.196645,state_change,RUNNING,RUNNING,0.298
1764895262.196645,eeg_state,EEG_CALM,RUNNING,0.298
1764895262.2321308,state_change,PAUSED,PAUSED,0.308
1764895262.2321308,eeg_state,EEG_NEUTRAL,PAUSED,0.308
1764895262.2698374,state_change,RUNNING,RUNNING,0.314
1764895262.2999685,gesture,GESTURE_FIST,PAUSED,0.319
1764895262.2999685,state_change,PAUSED,PAUSED,0.319
1764895262.3446565,state_change,RUNNING,RUNNING,0.315
1764895262.3802948,state_change,PAUSED,PAUSED,0.324
1764895262.4117565,state_change,RUNNING,RUNNING,0.326
1764895262.4368055,state_change,PAUSED,PAUSED,0.330
1764895262.4667528,state_change,RUNNING,RUNNING,0.328
1764895262.4992726,state_change,PAUSED,PAUSED,0.336
1764895262.528835,state_change,RUNNING,RUNNING,0.337
1764895262.556952,state_change,PAUSED,PAUSED,0.346
1764895262.5898068,state_change,RUNNING,RUNNING,0.354
1764895262.648928,gesture,GESTURE_FIST,PAUSED,0.358
1764895262.648928,state_change,PAUSED,PAUSED,0.358
1764895262.6772962,state_change,RUNNING,RUNNING,0.358
1764895262.7108917,state_change,PAUSED,PAUSED,0.362
1764895262.744638,state_change,RUNNING,RUNNING,0.367
1764895262.7710245,state_change,PAUSED,PAUSED,0.368
1764895262.7957852,state_change,RUNNING,RUNNING,0.378
1764895262.8392882,state_change,PAUSED,PAUSED,0.372
1764895262.875042,state_change,RUNNING,RUNNING,0.382
1764895262.9043438,state_change,PAUSED,PAUSED,0.389
1764895262.9387639,state_change,RUNNING,RUNNING,0.383
1764895262.9671447,gesture,GESTURE_FIST,PAUSED,0.386
1764895262.9671447,state_change,PAUSED,PAUSED,0.386
1764895262.9970894,state_change,RUNNING,RUNNING,0.395
1764895263.0489075,state_change,PAUSED,PAUSED,0.389
1764895263.0894775,state_change,RUNNING,RUNNING,0.394
1764895263.119964,state_change,PAUSED,PAUSED,0.403
1764895263.1489055,state_change,RUNNING,RUNNING,0.398
1764895263.1750715,state_change,PAUSED,PAUSED,0.396
1764895263.1970935,state_change,RUNNING,RUNNING,0.390
1764895263.232563,state_change,PAUSED,PAUSED,0.398
1764895263.2646677,state_change,RUNNING,RUNNING,0.389
1764895263.3084676,gesture,GESTURE_FIST,PAUSED,0.380
1764895263.3084676,state_change,PAUSED,PAUSED,0.380
1764895263.339705,state_change,RUNNING,RUNNING,0.380
1764895263.368846,state_change,PAUSED,PAUSED,0.372
1764895263.4041014,state_change,RUNNING,RUNNING,0.380
1764895263.448718,state_change,PAUSED,PAUSED,0.390
1764895263.4850082,state_change,RUNNING,RUNNING,0.388
1764895263.5180495,state_change,PAUSED,PAUSED,0.389
1764895263.546895,state_change,RUNNING,RUNNING,0.385
1764895263.5889277,state_change,PAUSED,PAUSED,0.394
1764895263.6228878,gesture,GESTURE_FIST,RUNNING,0.394
1764895263.6228878,state_change,RUNNING,RUNNING,0.394
1764895263.6591842,state_change,PAUSED,PAUSED,0.384
1764895263.6898801,state_change,RUNNING,RUNNING,0.380
1764895263.7271197,state_change,PAUSED,PAUSED,0.376
1764895263.757166,state_change,RUNNING,RUNNING,0.372
1764895263.7823138,state_change,PAUSED,PAUSED,0.364
1764895263.8104844,state_change,RUNNING,RUNNING,0.358
1764895263.8470528,state_change,PAUSED,PAUSED,0.361
1764895263.8779666,state_change,RUNNING,RUNNING,0.364
1764895263.9026315,state_change,PAUSED,PAUSED,0.368
1764895263.9357615,state_change,RUNNING,RUNNING,0.366
1764895263.9647472,gesture,GESTURE_FIST,PAUSED,0.357
1764895263.9647472,state_change,PAUSED,PAUSED,0.357
1764895264.00679,state_change,RUNNING,RUNNING,0.355
1764895264.0392923,state_change,PAUSED,PAUSED,0.349
1764895264.0768843,state_change,RUNNING,RUNNING,0.342
1764895264.1013176,state_change,PAUSED,PAUSED,0.347
1764895264.129628,state_change,RUNNING,RUNNING,0.355
1764895264.1514227,state_change,PAUSED,PAUSED,0.347
1764895264.1972373,state_change,RUNNING,RUNNING,0.344
1764895264.2272048,state_change,PAUSED,PAUSED,0.335
1764895264.2547748,state_change,RUNNING,RUNNING,0.326
1764895264.3115158,gesture,GESTURE_FIST,PAUSED,0.334
1764895264.3115158,state_change,PAUSED,PAUSED,0.334
1764895264.3372285,state_change,RUNNING,RUNNING,0.340
1764895264.3708827,state_change,PAUSED,PAUSED,0.346
1764895264.4070907,state_change,RUNNING,RUNNING,0.346
1764895264.437107,state_change,PAUSED,PAUSED,0.343
1764895264.4652271,state_change,RUNNING,RUNNING,0.342
1764895264.5021126,state_change,PAUSED,PAUSED,0.339
1764895264.5261118,state_change,RUNNING,RUNNING,0.342
1764895264.5496755,state_change,PAUSED,PAUSED,0.338
1764895264.5747344,state_change,RUNNING,RUNNING,0.346
1764895264.5985384,state_change,PAUSED,PAUSED,0.354
1764895264.6648867,gesture,GESTURE_FIST,RUNNING,0.361
1764895264.6648867,state_change,RUNNING,RUNNING,0.361
1764895264.71112,state_change,PAUSED,PAUSED,0.363
1764895264.7405624,state_change,RUNNING,RUNNING,0.355
1764895264.7821927,state_change,PAUSED,PAUSED,0.351
1764895264.809135,state_change,RUNNING,RUNNING,0.360
1764895264.8368835,state_change,PAUSED,PAUSED,0.352
1764895264.8646019,state_change,RUNNING,RUNNING,0.349
1764895264.8900476,state_change,PAUSED,PAUSED,0.343
1764895264.9255657,state_change,RUNNING,RUNNING,0.336
1764895264.9670117,gesture,GESTURE_FIST,PAUSED,0.333
1764895264.9670117,state_change,PAUSED,PAUSED,0.333
1764895264.9969096,state_change,RUNNING,RUNNING,0.325
1764895265.0248246,state_change,PAUSED,PAUSED,0.326
1764895265.0672112,state_change,RUNNING,RUNNING,0.326
1764895265.1126692,state_change,PAUSED,PAUSED,0.326
1764895265.1468663,state_change,RUNNING,RUNNING,0.328
1764895265.1827006,state_change,PAUSED,PAUSED,0.319
1764895265.2092812,state_change,RUNNING,RUNNING,0.318
1764895265.2366805,state_change,PAUSED,PAUSED,0.314
1764895265.2748442,gesture,GESTURE_FIST,RUNNING,0.304
1764895265.2748442,state_change,RUNNING,RUNNING,0.304
1764895265.3006601,state_change,PAUSED,PAUSED,0.308
1764895265.329872,state_change,RUNNING,RUNNING,0.301
1764895265.3670657,state_change,PAUSED,PAUSED,0.297
1764895265.3670657,eeg_state,EEG_CALM,PAUSED,0.297
1764895265.3947117,state_change,RUNNING,RUNNING,0.297
1764895265.4293613,state_change,PAUSED,PAUSED,0.305
1764895265.4293613,eeg_state,EEG_NEUTRAL,PAUSED,0.305
1764895265.460149,state_change,RUNNING,RUNNING,0.310
1764895265.5127819,state_change,PAUSED,PAUSED,0.309
1764895265.5479279,state_change,RUNNING,RUNNING,0.308
1764895265.578427,gesture,GESTURE_FIST,PAUSED,0.304
1764895265.578427,state_change,PAUSED,PAUSED,0.304
1764895265.6107674,state_change,RUNNING,RUNNING,0.311
1764895265.6407144,state_change,PAUSED,PAUSED,0.314
1764895265.668391,state_change,RUNNING,RUNNING,0.305
1764895265.6951017,state_change,PAUSED,PAUSED,0.310
1764895265.722176,state_change,RUNNING,RUNNING,0.315
1764895265.7637494,state_change,PAUSED,PAUSED,0.321
1764895265.7904356,state_change,RUNNING,RUNNING,0.324
1764895265.8173263,state_change,PAUSED,PAUSED,0.318
1764895265.8625724,state_change,RUNNING,RUNNING,0.311
1764895265.892522,gesture,GESTURE_FIST,PAUSED,0.317
1764895265.892522,state_change,PAUSED,PAUSED,0.317
1764895265.9176996,state_change,RUNNING,RUNNING,0.315
1764895265.9749284,state_change,PAUSED,PAUSED,0.314
1764895265.9960508,state_change,RUNNING,RUNNING,0.307
1764895266.0222619,state_change,PAUSED,PAUSED,0.311
1764895266.0684514,state_change,RUNNING,RUNNING,0.312
1764895266.1033938,voice,CMD_STOP,PAUSED,0.306
1764895266.1033938,state_change,PAUSED,PAUSED,0.306
1764895266.2175653,gesture,GESTURE_FIST,PAUSED,0.322
1764895266.548766,gesture,GESTURE_FIST,PAUSED,0.335
1764895266.8832104,gesture,GESTURE_FIST,PAUSED,0.295
1764895266.8832104,eeg_state,EEG_CALM,PAUSED,0.295
1764895266.9064775,eeg_state,EEG_NEUTRAL,PAUSED,0.303
1764895266.933975,eeg_state,EEG_CALM,PAUSED,0.295
1764895267.0294464,eeg_state,EEG_NEUTRAL,PAUSED,0.304
1764895267.173462,eeg_state,EEG_CALM,PAUSED,0.294
1764895267.201841,gesture,GESTURE_FIST,PAUSED,0.292
1764895267.5035994,gesture,GESTURE_THUMBS_UP,RUNNING,0.276
1764895267.5035994,state_change,RUNNING,RUNNING,0.276
1764895267.533519,state_change,PAUSED,PAUSED,0.273
1764895267.5532997,state_change,RUNNING,RUNNING,0.277
1764895267.5812829,gesture,GESTURE_OPEN_HAND,PAUSED,0.284
1764895267.5812829,state_change,PAUSED,PAUSED,0.284
1764895267.8354602,eeg_state,EEG_NEUTRAL,PAUSED,0.300
1764895267.8786263,eeg_state,EEG_CALM,PAUSED,0.294
1764895267.9033372,gesture,GESTURE_OPEN_HAND,PAUSED,0.288
1764895268.2083814,gesture,GESTURE_OPEN_HAND,PAUSED,0.255
1764895268.5412924,gesture,GESTURE_OPEN_HAND,PAUSED,0.267
1764895268.6491501,gesture,GESTURE_THUMBS_UP,RUNNING,0.256
1764895268.6491501,state_change,RUNNING,RUNNING,0.256
1764895268.6835027,state_change,PAUSED,PAUSED,0.256
1764895268.715399,state_change,RUNNING,RUNNING,0.262
1764895268.7434356,gesture,GESTURE_FIST,PAUSED,0.268
1764895268.7434356,state_change,PAUSED,PAUSED,0.268
1764895269.0473058,gesture,GESTURE_FIST,PAUSED,0.284
1764895269.2107222,eeg_state,EEG_NEUTRAL,PAUSED,0.303
1764895269.3574252,gesture,GESTURE_FIST,PAUSED,0.295
1764895269.3574252,eeg_state,EEG_CALM,PAUSED,0.295
1764895269.543655,gesture,GESTURE_THUMBS_UP,RUNNING,0.287
